movieId,title,genre_combo,genre_count,tmdbId,avg_rating,num_ratings,all_tags,features,poster_url
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","Adventure,Drama,Fantasy,Mystery,Sci-Fi",5,902.0,4.0131578947368425,38,kidnapping,Adventure Drama Fantasy Mystery Sci-Fi kidnapping,https://image.tmdb.org/t/p/w300/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg
31,Dangerous Minds (1995),Drama,1,9909.0,3.1842105263157894,76,high school teacher,Drama high school teacher,https://image.tmdb.org/t/p/w300/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Mystery,Sci-Fi,Thriller",3,63.0,3.983050847457627,1770,time travel Brad Pitt Bruce Willis mindfuck Post apocalyptic post-apocalyptic remake twist ending,Mystery Sci-Fi Thriller time travel Brad Pitt Bruce Willis mindfuck Post apocalyptic post-apocalyptic remake twist ending,https://image.tmdb.org/t/p/w300/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg
34,Babe (1995),"Children,Drama",2,9598.0,3.65234375,384,Animal movie pigs villain nonexistent or not needed for good story,Children Drama Animal movie pigs villain nonexistent or not needed for good story,https://image.tmdb.org/t/p/w300/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg
36,Dead Man Walking (1995),"Crime,Drama",2,687.0,3.8358208955223883,134,death penalty Nun,Crime Drama death penalty Nun,https://image.tmdb.org/t/p/w300/eShxyjhWoFl3BwsuEmVsr4nLaMZ.jpg
38,It Takes Two (1995),"Children,Comedy",2,33689.0,2.125,4,twins,Children Comedy twins,https://image.tmdb.org/t/p/w300/4CptjFLiIJXtjc3dykS7vkEHMbw.jpg
39,Clueless (1995),"Comedy,Romance",2,9603.0,3.293269230769231,728,chick flick funny Paul Rudd quotable seen more than once Emma Jane Austen,Comedy Romance chick flick funny Paul Rudd quotable seen more than once Emma Jane Austen,https://image.tmdb.org/t/p/w300/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg
40,"Cry, the Beloved Country (1995)",Drama,1,34615.0,4.25,4,In Netflix queue South Africa,Drama In Netflix queue South Africa,https://image.tmdb.org/t/p/w300/96TZr6o4kuiIEryC5jkzaQoP6m5.jpg
41,Richard III (1995),"Drama,War",2,31174.0,3.7,15,Shakespeare,Drama War Shakespeare,https://image.tmdb.org/t/p/w300/cBg1AMH1ucPsDlNMfcHlrreQXQX.jpg
43,Restoration (1995),Drama,1,35196.0,3.1875,8,England,Drama England,https://image.tmdb.org/t/p/w300/z1YM3WFZnF2NwHT5IRGYUcvZBSl.jpg
45,To Die For (1995),"Comedy,Drama,Thriller",3,577.0,3.3125,32,Journalism,Comedy Drama Thriller Journalism,https://image.tmdb.org/t/p/w300/whz4bwvqE1OmQHIyqHdZD8jU9CO.jpg
46,How to Make an American Quilt (1995),"Drama,Romance",2,11861.0,3.066666666666667,15,wedding,Drama Romance wedding,https://image.tmdb.org/t/p/w300/pI9UAemlWgdrnjRgYJsbTk8BSJc.jpg
47,Seven (a.k.a. Se7en) (1995),"Mystery,Thriller",2,807.0,3.9753694581280787,609,mystery twist ending serial killer,Mystery Thriller mystery twist ending serial killer,https://image.tmdb.org/t/p/w300/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg
50,"Usual Suspects, The (1995)","Crime,Mystery,Thriller",3,629.0,4.237745098039215,1224,mindfuck suspense thriller tricky twist ending heist,Crime Mystery Thriller mindfuck suspense thriller tricky twist ending heist,https://image.tmdb.org/t/p/w300/99X2SgyFunJFXGAYnDv3sb9pnUD.jpg
52,Mighty Aphrodite (1995),"Comedy,Drama,Romance",3,11448.0,3.4642857142857144,56,adoption prostitution,Comedy Drama Romance adoption prostitution,https://image.tmdb.org/t/p/w300/ice135yQZp4iX2SgCmd90nKgS5j.jpg
58,"Postman, The (Postino, Il) (1994)","Comedy,Drama,Romance",3,11010.0,4.027027027027027,37,writing,Comedy Drama Romance writing,https://image.tmdb.org/t/p/w300/cUaCpjVDefYShKyLmkcDsiPaBHn.jpg
62,Mr. Holland's Opus (1995),Drama,1,2054.0,3.70625,80,music,Drama music,https://image.tmdb.org/t/p/w300/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg
92,Mary Reilly (1996),"Drama,Horror,Thriller",3,9095.0,2.625,8,Jekyll and Hyde,Drama Horror Thriller Jekyll and Hyde,https://image.tmdb.org/t/p/w300/cW5wTiv5fdtBOd22utmAIZBCMS3.jpg
96,In the Bleak Midwinter (1995),"Comedy,Drama",2,40154.0,3.5,1,theater,Comedy Drama theater,https://image.tmdb.org/t/p/w300/eUrv3E65orbuPnFikjpjso4TVBN.jpg
101,Bottle Rocket (1996),"Adventure,Comedy,Crime,Romance",4,13685.0,3.782608695652174,69,crime off-beat comedy quirky,Adventure Comedy Crime Romance crime off-beat comedy quirky,https://image.tmdb.org/t/p/w300/wOPiNYt9V3Cbr9Izeddwj7nU8RT.jpg
104,Happy Gilmore (1996),Comedy,1,9614.0,3.4393939393939394,297,test tag golf Adam Sandler,Comedy test tag golf Adam Sandler,https://image.tmdb.org/t/p/w300/4RnCeRzvI1xk5tuNWjpDKzSnJDk.jpg
107,Muppet Treasure Island (1996),"Adventure,Children,Comedy,Musical",4,10874.0,3.326923076923077,26,muppets,Adventure Children Comedy Musical muppets,https://image.tmdb.org/t/p/w300/k4KW2CUkzDKaCy4H4cS02cO8gvV.jpg
110,Braveheart (1995),"Action,Drama,War",3,197.0,4.031645569620253,2370,beautiful scenery epic historical inspirational Medieval mel gibson Oscar (Best Cinematography) revenge sword fight Scotland,Action Drama War beautiful scenery epic historical inspirational Medieval mel gibson Oscar (Best Cinematography) revenge sword fight Scotland,https://image.tmdb.org/t/p/w300/or1gBugydmjToAEq7OZY0owwFk.jpg
111,Taxi Driver (1976),"Crime,Drama,Thriller",3,103.0,4.105769230769231,104,assassination,Crime Drama Thriller assassination,https://image.tmdb.org/t/p/w300/ekstpH614fwDX8DUln1a2Opz0N8.jpg
116,Anne Frank Remembered (1995),Documentary,1,51352.0,3.9,5,Holocaust,Documentary Holocaust,https://image.tmdb.org/t/p/w300/6nyhzrSGimCbdxiY8DEO7kI7xx4.jpg
122,Boomerang (1992),"Comedy,Romance",2,11066.0,2.65625,16,dating,Comedy Romance dating,https://image.tmdb.org/t/p/w300/apwkBVaJqLuK6mxe6sOABCeNjRw.jpg
140,Up Close and Personal (1996),"Drama,Romance",2,9302.0,3.5,16,journalism,Drama Romance journalism,https://image.tmdb.org/t/p/w300/zF67qcf7skMHLpXnifodinUqCFr.jpg
147,"Basketball Diaries, The (1995)",Drama,1,10474.0,3.466666666666667,60,addiction heroin Leonardo DiCaprio Mark Wahlberg,Drama addiction heroin Leonardo DiCaprio Mark Wahlberg,https://image.tmdb.org/t/p/w300/AhvO1GGDPIgN0hOqZEgaFCbswMK.jpg
150,Apollo 13 (1995),"Adventure,Drama,IMAX",3,568.0,3.845771144278607,603,moon NASA space,Adventure Drama IMAX moon NASA space,https://image.tmdb.org/t/p/w300/tVeKscCm2fY1xDXZk8PgnZ87h9S.jpg
153,Batman Forever (1995),"Action,Adventure,Comedy,Crime",4,414.0,2.9160583941605838,274,superhero,Action Adventure Comedy Crime superhero,https://image.tmdb.org/t/p/w300/i0fJS8M5UKoETjjJ0zwUiKaR8tr.jpg
160,Congo (1995),"Action,Adventure,Mystery,Sci-Fi",4,10329.0,2.8771929824561404,57,Michael Crichton,Action Adventure Mystery Sci-Fi Michael Crichton,https://image.tmdb.org/t/p/w300/hPNSToNIIpRO6y5Rh973leqQqNr.jpg
161,Crimson Tide (1995),"Drama,Thriller,War",3,8963.0,3.6359223300970873,103,submarine,Drama Thriller War submarine,https://image.tmdb.org/t/p/w300/21nqRJ6ofEgVvEl68J4O9V26Xzy.jpg
162,Crumb (1994),Documentary,1,26564.0,4.205882352941177,17,In Netflix queue,Documentary In Netflix queue,https://image.tmdb.org/t/p/w300/9ocTHdBCJdwJ65Tubg3lYlfMxEY.jpg
175,Kids (1995),Drama,1,9344.0,3.975,60,controversial New York City Nudity (Full Frontal),Drama controversial New York City Nudity (Full Frontal),https://image.tmdb.org/t/p/w300/8qV8hUVCUnFIQKewzlhaFWhdszK.jpg
185,"Net, The (1995)","Action,Crime,Thriller",3,1642.0,3.0401785714285716,112,computers,Action Crime Thriller computers,https://image.tmdb.org/t/p/w300/dtupntUFMD5iXBo8HLfALt2ET4R.jpg
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","Drama,Musical,Romance",3,5967.0,4.125,4,Made me cry,Drama Musical Romance Made me cry,https://image.tmdb.org/t/p/w300/tAgTf64XKK5ir7w5C7dnB53jWWG.jpg
215,Before Sunrise (1995),"Drama,Romance",2,76.0,4.041666666666667,24,generation X,Drama Romance generation X,https://image.tmdb.org/t/p/w300/kf1Jb1c2JAOqjuzA3H4oDM263uB.jpg
216,Billy Madison (1995),Comedy,1,11017.0,3.326530612244898,147,school Adam Sandler stop looking at me swan,Comedy school Adam Sandler stop looking at me swan,https://image.tmdb.org/t/p/w300/sOdgtJdFalL9kRKaeJItARLTAEq.jpg
222,Circle of Friends (1995),"Drama,Romance",2,22625.0,3.75,16,Ireland,Drama Romance Ireland,https://image.tmdb.org/t/p/w300/2QLTcXxrdSBrEgQZjPjpCf5QS4f.jpg
223,Clerks (1994),Comedy,1,2292.0,3.855769230769231,624,cynical hilarious independent film quirky witty generation X,Comedy cynical hilarious independent film quirky witty generation X,https://image.tmdb.org/t/p/w300/9IiSgiq4h4siTIS9H3o4nZ3h5L9.jpg
224,Don Juan DeMarco (1995),"Comedy,Drama,Romance",3,1909.0,3.6125,80,mental illness psychology,Comedy Drama Romance mental illness psychology,https://image.tmdb.org/t/p/w300/fe0TuYz9jCKUba2Omj48K8bWJ8z.jpg
230,Dolores Claiborne (1995),"Drama,Thriller",2,11929.0,3.3958333333333335,24,Stephen King,Drama Thriller Stephen King,https://image.tmdb.org/t/p/w300/iQuwx3UAyXbE9tzdM3jLqtbogc4.jpg
232,Eat Drink Man Woman (Yin shi nan nu) (1994),"Comedy,Drama,Romance",3,10451.0,3.892857142857143,14,In Netflix queue,Comedy Drama Romance In Netflix queue,https://image.tmdb.org/t/p/w300/olhIWtIBFg6VWK59DEd4lAvgVgz.jpg
235,Ed Wood (1994),"Comedy,Drama",2,522.0,3.6785714285714284,70,movie business,Comedy Drama movie business,https://image.tmdb.org/t/p/w300/n8SrO3WbyuY2b6KazogqbQF348C.jpg
237,Forget Paris (1995),"Comedy,Romance",2,10525.0,3.340909090909091,66,basketball France infertility,Comedy Romance basketball France infertility,https://image.tmdb.org/t/p/w300/c2RwGHqWwvh7nmRKpdIyYUWMEvP.jpg
246,Hoop Dreams (1994),Documentary,1,14275.0,4.293103448275862,29,basketball,Documentary basketball,https://image.tmdb.org/t/p/w300/gLzHl2XBtVwycl8DxdOXRHPm8G3.jpg
247,Heavenly Creatures (1994),"Crime,Drama",2,1024.0,3.9285714285714284,21,Australia,Crime Drama Australia,https://image.tmdb.org/t/p/w300/AsZ286PDaYy8rZTKDDEbhrWV9gq.jpg
248,Houseguest (1994),Comedy,1,17207.0,3.176470588235294,34,bad Sinbad,Comedy bad Sinbad,https://image.tmdb.org/t/p/w300/cdiHlZho11EEqD3aPanYe1rEYRB.jpg
249,Immortal Beloved (1994),"Drama,Romance",2,13701.0,3.7222222222222223,18,Beethoven,Drama Romance Beethoven,https://image.tmdb.org/t/p/w300/lkqz2R5pjXeDaiIjR3Z6JTGjtg6.jpg
252,I.Q. (1994),"Comedy,Romance",2,11777.0,3.453488372093023,43,Einstein,Comedy Romance Einstein,https://image.tmdb.org/t/p/w300/5we3ZV6yiw13b8zGk4LuacuV8n7.jpg
257,Just Cause (1995),"Mystery,Thriller",2,9061.0,3.5,14,court,Mystery Thriller court,https://image.tmdb.org/t/p/w300/hbkS4UpgHcGhLlGy9YCX4WIJ4lu.jpg
260,Star Wars: Episode IV - A New Hope (1977),"Action,Adventure,Sci-Fi",3,11.0,4.231075697211155,6526,classic space action action sci-fi EPIC great soundtrack classic sci-fi engrossing adventure Nerd space epic oldie but goodie Star Wars ROBOTS AND ANDROIDS space space adventure darth vader luke skywalker space opera,Action Adventure Sci-Fi classic space action action sci-fi EPIC great soundtrack classic sci-fi engrossing adventure Nerd space epic oldie but goodie Star Wars ROBOTS AND ANDROIDS space space adventure darth vader luke skywalker space opera,https://image.tmdb.org/t/p/w300/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg
261,Little Women (1994),Drama,1,9587.0,3.880952380952381,42,Louisa May Alcott,Drama Louisa May Alcott,https://image.tmdb.org/t/p/w300/1ZzH1XMcKAe5NdrKL5MfcqZHHsZ.jpg
262,"Little Princess, A (1995)","Children,Drama",2,19101.0,3.9047619047619047,63,England Girl Power India,Children Drama England Girl Power India,https://image.tmdb.org/t/p/w300/9V4bAVEskSNbEqjVI0YmeuB0n8I.jpg
272,"Madness of King George, The (1994)","Comedy,Drama",2,11318.0,3.7580645161290325,62,England mental illness,Comedy Drama England mental illness,https://image.tmdb.org/t/p/w300/1dTSY023ZyBbgVSKDRuA6JLGSnZ.jpg
273,Mary Shelley's Frankenstein (Frankenstein) (1994),"Drama,Horror,Sci-Fi",3,3036.0,2.9464285714285716,28,gothic,Drama Horror Sci-Fi gothic,https://image.tmdb.org/t/p/w300/bOwCAQsZlEKrwhPi1ejY6BS8jpL.jpg
277,Miracle on 34th Street (1994),Drama,1,10510.0,3.223684210526316,38,Christmas,Drama Christmas,https://image.tmdb.org/t/p/w300/iUTPKkljdEjPlcPPYgbUz7APnHu.jpg
279,My Family (1995),Drama,1,38722.0,3.0,2,In Netflix queue,Drama In Netflix queue,https://image.tmdb.org/t/p/w300/i6t6QF5QyUd3UAQ8JM8eVU1169D.jpg
280,Murder in the First (1995),"Drama,Thriller",2,8438.0,4.076923076923077,13,prison,Drama Thriller prison,https://image.tmdb.org/t/p/w300/duUpJUmuz82OKMwGnKc8sCV7emS.jpg
282,Nell (1994),Drama,1,1945.0,3.3375,80,disability twins,Drama disability twins,https://image.tmdb.org/t/p/w300/aIDp3x2YfijtdherR28pIH6yenn.jpg
288,Natural Born Killers (1994),"Action,Crime,Thriller",3,241.0,3.233695652173913,552,brutality controversial dark comedy psychedelic satire stylized,Action Crime Thriller brutality controversial dark comedy psychedelic satire stylized,https://image.tmdb.org/t/p/w300/fEKZwT91gxvkAoyPgpNXo8W5fu0.jpg
290,Once Were Warriors (1994),"Crime,Drama",2,527.0,4.035714285714286,14,In Netflix queue,Crime Drama In Netflix queue,https://image.tmdb.org/t/p/w300/kRNANrGG50AaU2TwN0kg7tkYqlQ.jpg
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),"Action,Crime,Drama,Thriller",4,101.0,4.018796992481203,4655,assassin Jean Reno hit men Action assassination assassins awkward romance corruption crime disturbing drama French friendship Gary Oldman great acting Guns hitman humorous imdb top 250 Lolita theme loneliness love story Luc Besson Natalie Portman organized crime police police corruption quirky sniper tense touching unique,Action Crime Drama Thriller assassin Jean Reno hit men Action assassination assassins awkward romance corruption crime disturbing drama French friendship Gary Oldman great acting Guns hitman humorous imdb top 250 Lolita theme loneliness love story Luc Besson Natalie Portman organized crime police police corruption quirky sniper tense touching unique,https://image.tmdb.org/t/p/w300/bxB2q91nKYp8JNzqE7t7TWBVupB.jpg
296,Pulp Fiction (1994),"Comedy,Crime,Drama,Thriller",4,680.0,4.197068403908795,55567,good dialogue great soundtrack non-linear cult film drugs Quentin Tarantino Tarantino hit men 1990s achronological action action packed aggressive amazing amazing dialogues anthology assassin atmospheric AWESOME bad ass bad language bad-ass bible biblical references big boys with guns big name actors Black comedy black humor black humour blood blood splatters bloody bruce willis brutality casual violence character development characters classic classic movie coke comedy conversation cool cool style crime crime scene scrubbing cult cult classic dance dancing dark dark comedy dark humor dialogue different diner disjointed timeline disturbing drama drug overdose drugs & music ensemble cast entertaining entirely dialogue episodic exciting fast paced fast-paced film noir film-noir foul language fun funny gangster gangsters genius golden watch good music gore great acting great dialogue gritty guns Harvey Keitel heroin Highly quotable hitman homosexuality humour iconic imdb top 250 innovative intellectual intelligent intense interesting intertwining storylines interwoven storylines ironic irony John Travolta killer-as-protagonist los angeles Mafia masterpiece meaningless violence milkshake mobster mobsters monologue motherfucker multiple stories multiple storylines neo-noir noir non-linear timeline nonlinear nonlinear narrative nonlinear storyline nonlinear timeline notable soundtrack offensive organised crime organized crime original original plot out of order Palme d'Or parody philosophical pop culture references psychological pulp quirky Quotable r:disturbing violent content including rape r:disturbing violent images r:graphic sexuality r:some violence r:strong bloody violence r:strong language r:sustained strong stylized violence r:violence random rape retro Roger Avary royal with cheese Samuel L. Jackson sarcasm satire sexy smart writing sophisticated soundtrack splatter Steve Buscemi storytelling stylish stylized suspense thought-provoking thriller travolta twist ending Uma Thurman unique unpredictable unusual very funny violence violent witty,Comedy Crime Drama Thriller good dialogue great soundtrack non-linear cult film drugs Quentin Tarantino Tarantino hit men 1990s achronological action action packed aggressive amazing amazing dialogues anthology assassin atmospheric AWESOME bad ass bad language bad-ass bible biblical references big boys with guns big name actors Black comedy black humor black humour blood blood splatters bloody bruce willis brutality casual violence character development characters classic classic movie coke comedy conversation cool cool style crime crime scene scrubbing cult cult classic dance dancing dark dark comedy dark humor dialogue different diner disjointed timeline disturbing drama drug overdose drugs & music ensemble cast entertaining entirely dialogue episodic exciting fast paced fast-paced film noir film-noir foul language fun funny gangster gangsters genius golden watch good music gore great acting great dialogue gritty guns Harvey Keitel heroin Highly quotable hitman homosexuality humour iconic imdb top 250 innovative intellectual intelligent intense interesting intertwining storylines interwoven storylines ironic irony John Travolta killer-as-protagonist los angeles Mafia masterpiece meaningless violence milkshake mobster mobsters monologue motherfucker multiple stories multiple storylines neo-noir noir non-linear timeline nonlinear nonlinear narrative nonlinear storyline nonlinear timeline notable soundtrack offensive organised crime organized crime original original plot out of order Palme d'Or parody philosophical pop culture references psychological pulp quirky Quotable r:disturbing violent content including rape r:disturbing violent images r:graphic sexuality r:some violence r:strong bloody violence r:strong language r:sustained strong stylized violence r:violence random rape retro Roger Avary royal with cheese Samuel L. Jackson sarcasm satire sexy smart writing sophisticated soundtrack splatter Steve Buscemi storytelling stylish stylized suspense thought-provoking thriller travolta twist ending Uma Thurman unique unpredictable unusual very funny violence violent witty,https://image.tmdb.org/t/p/w300/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg
300,Quiz Show (1994),Drama,1,11450.0,3.5185185185185186,81,TV,Drama TV,https://image.tmdb.org/t/p/w300/yoGJo1h3Hl2exXPVcG9UXWDENtX.jpg
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,1,108.0,3.8958333333333335,24,Death,Drama Death,https://image.tmdb.org/t/p/w300/33wsWxzsNstI8N7dvuwzFmj1qBd.jpg
308,Three Colors: White (Trzy kolory: Bialy) (1994),"Comedy,Drama",2,109.0,4.025,40,marriage cynical,Comedy Drama marriage cynical,https://image.tmdb.org/t/p/w300/fdIet3NSa27gobMbaUml66oCQNT.jpg
316,Stargate (1994),"Action,Adventure,Sci-Fi",3,2164.0,3.375,140,time travel,Action Adventure Sci-Fi time travel,https://image.tmdb.org/t/p/w300/4T6Po0XnZlevmhfPh3ZfEs5butR.jpg
317,"Santa Clause, The (1994)","Comedy,Drama,Fantasy",3,11395.0,3.2037037037037037,81,Christmas,Comedy Drama Fantasy Christmas,https://image.tmdb.org/t/p/w300/hvV2rI60qOYELT7tHHLpxtafnBZ.jpg
318,"Shawshank Redemption, The (1994)","Crime,Drama",2,278.0,4.429022082018927,1268,prison Stephen King wrongful imprisonment Morgan Freeman,Crime Drama prison Stephen King wrongful imprisonment Morgan Freeman,https://image.tmdb.org/t/p/w300/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg
326,To Live (Huozhe) (1994),Drama,1,31439.0,4.0,3,In Netflix queue,Drama In Netflix queue,https://image.tmdb.org/t/p/w300/bv0qREWTw8TPAtgt22ELp1UlKVl.jpg
329,Star Trek: Generations (1994),"Adventure,Drama,Sci-Fi",3,193.0,3.3935185185185186,108,Enterprise,Adventure Drama Sci-Fi Enterprise,https://image.tmdb.org/t/p/w300/gh0ZZRwSmlzEZTIZee3ZCN9Jssx.jpg
337,What's Eating Gilbert Grape (1993),Drama,1,1587.0,3.7662337662337664,77,mental illness,Drama mental illness,https://image.tmdb.org/t/p/w300/8FxWgsfDNosewo7H65oE4QkOb7g.jpg
338,Virtuosity (1995),"Action,Sci-Fi,Thriller",3,9271.0,2.8421052631578947,19,serial killer,Action Sci-Fi Thriller serial killer,https://image.tmdb.org/t/p/w300/5emgnXYrXjqyiup2JsvtuENseiV.jpg
339,While You Were Sleeping (1995),"Comedy,Romance",2,2064.0,3.4693877551020407,98,coma,Comedy Romance coma,https://image.tmdb.org/t/p/w300/qNGO3ETcNwlWqK2kNRpbJSJRlos.jpg
342,Muriel's Wedding (1994),Comedy,1,236.0,3.272727272727273,66,Australia weddings,Comedy Australia weddings,https://image.tmdb.org/t/p/w300/zJyTr8Fo412a2OIfJGXTRAm4IwX.jpg
345,"Adventures of Priscilla, Queen of the Desert, The (1994)","Comedy,Drama",2,2759.0,3.5972222222222223,108,cross dressing men in drag remade,Comedy Drama cross dressing men in drag remade,https://image.tmdb.org/t/p/w300/kJ7syYXEJgSBmBfSnF3Can9cK1J.jpg
349,Clear and Present Danger (1994),"Action,Crime,Drama,Thriller",4,9331.0,3.6045454545454545,110,Tom Clancy,Action Crime Drama Thriller Tom Clancy,https://image.tmdb.org/t/p/w300/6xTM8FPxrLRYwz6I3fqtwh7xybs.jpg
350,"Client, The (1994)","Drama,Mystery,Thriller",3,10731.0,3.3859649122807016,57,John Grisham,Drama Mystery Thriller John Grisham,https://image.tmdb.org/t/p/w300/oLdkJ4ZjxPtFSUChdjDQvHM9l75.jpg
351,"Corrina, Corrina (1994)","Comedy,Drama,Romance",3,10464.0,3.176470588235294,17,interracial romance,Comedy Drama Romance interracial romance,https://image.tmdb.org/t/p/w300/xuEubxRGut2Yh118RyNa6ruXXCp.jpg
356,Forrest Gump (1994),"Comedy,Drama,Romance,War",4,13.0,4.164133738601824,2961,shrimp Vietnam bubba gump shrimp lieutenant dan stupid is as stupid does bittersweet emotional heartwarming touching,Comedy Drama Romance War shrimp Vietnam bubba gump shrimp lieutenant dan stupid is as stupid does bittersweet emotional heartwarming touching,https://image.tmdb.org/t/p/w300/Cw4hIUIAmSYfK9QfaUW5igp9La.jpg
357,Four Weddings and a Funeral (1994),"Comedy,Romance",2,712.0,3.5194174757281553,103,wedding,Comedy Romance wedding,https://image.tmdb.org/t/p/w300/qa72G2VS0bpxms6yo0tI9vsHm2e.jpg
361,It Could Happen to You (1994),"Comedy,Drama,Romance",3,10660.0,3.0588235294117645,17,gambling,Comedy Drama Romance gambling,https://image.tmdb.org/t/p/w300/6UOaeLDOdwwTMQtbl5YL6EGjqy0.jpg
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary,1,41647.0,4.0,4,Holocaust In Netflix queue,Documentary Holocaust In Netflix queue,https://image.tmdb.org/t/p/w300/pZnBH4ZJnHcVFgeuK81w2tcHvRD.jpg
364,"Lion King, The (1994)","Adventure,Animation,Children,Drama,IMAX,Musical",6,8587.0,3.941860465116279,860,Disney Disney animated feature Oscar (Best Music - Original Score) soundtrack,Adventure Animation Children Drama IMAX Musical Disney Disney animated feature Oscar (Best Music - Original Score) soundtrack,https://image.tmdb.org/t/p/w300/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg
371,"Paper, The (1994)","Comedy,Drama",2,12280.0,3.3095238095238093,21,journalism,Comedy Drama journalism,https://image.tmdb.org/t/p/w300/pGPrFbucRLwVtCKCeinwAklAl0l.jpg
377,Speed (1994),"Action,Romance,Thriller",3,1637.0,3.5292397660818713,171,bus,Action Romance Thriller bus,https://image.tmdb.org/t/p/w300/82PkCE4R95KhHICUDF7G4Ly2z3l.jpg
380,True Lies (1994),"Action,Adventure,Comedy,Romance,Thriller",5,36955.0,3.497191011235955,178,spies,Action Adventure Comedy Romance Thriller spies,https://image.tmdb.org/t/p/w300/pweFTnzzTfGK68woSVkiTgjLzWm.jpg
381,When a Man Loves a Woman (1994),"Drama,Romance",2,10449.0,3.8181818181818183,11,alcoholism,Drama Romance alcoholism,https://image.tmdb.org/t/p/w300/cA1uMNX3sdWAWfMZbsgm1VIJYSY.jpg
